Lexical class,English word,Experiment 1 (written words),Experiment 2 (spoken words),Experiment 5 (alien accuracy)
adjective,asleep,0.454545455,0.3,44.10526316
adjective,awake,2.1,1.833333333,37.5
adjective,bad,0.5625,0.7,50.6
adjective,better,-0.1,0.785714286,32.5625
adjective,big,1.090909091,-0.909090909,39.66666667
adjective,black,1.19047619,1.5,34.81818182
adjective,blue,-0.066666667,-0.4,45.41666667
adjective,broken,1.5,1.769230769,40.21428571
adjective,brown,0.571428571,-0.3,22.16666667
adjective,cold,1.5,1.941176471,38.2
adjective,cute,2.083333333,2.125,38.54545455
adjective,dark,1.181818182,1.470588235,46.46666667
adjective,dirty,1,2.181818182,42.92307692
adjective,empty,0.8,1.4,42.6
adjective,fast,2.166666667,0.785714286,44.2
adjective,fine,-0.461538462,0.3,31.5
adjective,first,1.3,0.5,28.66666667
adjective,full,1.785714286,0.714285714,43.93333333
adjective,gentle,2.642857143,0.714285714,36.33333333
adjective,good,0.928571429,0.823529412,48.3
adjective,green,1.1,0.818181818,37.6
adjective,happy,2.076923077,0.909090909,50.2
adjective,hard,3.692307692,3,45
adjective,heavy,1.1,0.909090909,55
adjective,high,2.636363636,1.333333333,63.2
adjective,hot,2,1.363636364,56.7
adjective,hungry,1.285714286,0.769230769,43.63636364
adjective,hurt,0.9,1.555555556,39.5
adjective,last,0.615384615,1.538461538,34.45454545
adjective,little,1.15,1.666666667,35
adjective,long,0.090909091,-1.25,42.13333333
adjective,loud,1.2,2.769230769,35.7
adjective,mad,0.733333333,0.7,52.71428571
adjective,naughty,0.4,0.857142857,27.3
adjective,new,-0.285714286,0.272727273,25.66666667
adjective,nice,0.8125,1.076923077,36.36363636
adjective,noisy,1.4,1,37.13333333
adjective,old,1.266666667,1.083333333,27.09090909
adjective,other,-0.083333333,-0.5,27.6
adjective,poor,-1.2,0.6,28.52941176
adjective,pretty,2,1.642857143,46.33333333
adjective,quiet,1,-1.642857143,45
adjective,red,1.833333333,1.181818182,42.1
adjective,sad,1.769230769,1.307692308,46.8125
adjective,same,0,0.909090909,33.4
adjective,scared,1.384615385,1.090909091,37.23076923
adjective,sick,2,3.5,46.2
adjective,sleepy,1.416666667,1.142857143,55
adjective,slow,1.636363636,2.533333333,34.73684211
adjective,soft,2.333333333,2.666666667,41.16666667
adjective,sticky,2.928571429,1.625,47.2
adjective,stuck,1.583333333,2,44
adjective,thirsty,1.764705882,1,59.09090909
adjective,tiny,3.363636364,2.545454545,48
adjective,tired,0.166666667,1.6,39.91666667
adjective,wet,2.25,0.6,37.78571429
adjective,white,0.5,0.571428571,33.9
adjective,windy,3.4,0.857142857,53.21428571
adjective,yellow,0.5,0.2,31.05555556
adjective,yucky,3.461538462,2.2,74.66666667
exclamation,bye,1.583333333,0.4,63.85714286
exclamation,hello,2.1,1.636363636,69.9
exclamation,hi,0.8,2.7,65.05882353
exclamation,no,2.8125,3.6,74.66666667
exclamation,thanks,1.416666667,1.333333333,44.25
exclamation,yes,2.25,0.727272727,60.69230769
grammar,a,0.461538462,1.785714286,39.36363636
grammar,about,-0.1,-0.714285714,28.30769231
grammar,above,1.0625,1.125,38.2
grammar,after,0.75,0.1,15.4
grammar,all,-0.1,1.066666667,34.21428571
grammar,am,0.583333333,-0.5,30.5
grammar,an,-0.642857143,-0.3,16.5
grammar,and,0.5625,0.166666667,15.7
grammar,another,0.117647059,0.0625,26.3
grammar,any,-0.3125,-0.642857143,22.08333333
grammar,are,-0.9,-1.25,18.58333333
grammar,around,0.6,2.071428571,35
grammar,at,-0.166666667,0.333333333,28.35294118
grammar,away,0.75,0.384615385,36.14285714
grammar,be,0.384615385,-0.461538462,30.85714286
grammar,because,0.214285714,0,14.91666667
grammar,before,-0.5,1.307692308,19.5
grammar,behind,1.545454545,1.153846154,36.92307692
grammar,but,0,-1,20.17647059
grammar,by,0.272727273,-0.7,12.5
grammar,could,-1.454545455,0.272727273,19.58333333
grammar,did,0.466666667,-0.153846154,37.58823529
grammar,do,0.846153846,-0.2,35.375
grammar,does,-0.6,0,21.2
grammar,down ,1.909090909,NA,NA
grammar,each,0.666666667,0.4375,21.2
grammar,every,0.25,0.846153846,26.70588235
grammar,for,-1.4,-0.090909091,18
grammar,gonna,-0.4,0.636363636,17.72727273
grammar,gotta,0,-0.1,11.69230769
grammar,he,1.058823529,1.3,37.72727273
grammar,her,0.7,-0.5,53.5
grammar,here,-0.2,0.1,43.54545455
grammar,hers,1.214285714,0.090909091,36.625
grammar,him,0.583333333,0.6,49.8
grammar,his,0.588235294,0.9,45.7
grammar,how,0.461538462,0.545454545,36
grammar,I,3.181818182,1.428571429,68.76923077
grammar,if,0.636363636,0.769230769,28
grammar,in,1.461538462,1.166666667,46.17647059
grammar,inside,0.9,0.7,39
grammar,into,-0.823529412,1.214285714,32.3125
grammar,is,-0.142857143,0.384615385,30.75
grammar,it,1,1.454545455,33.07142857
grammar,later,-0.3,0.076923077,44.11764706
grammar,lemme,-0.9,-1.285714286,13.14285714
grammar,me,0.6,1.833333333,64.59090909
grammar,mine,1.5,0.909090909,20.23076923
grammar,more,1.125,1,50.73684211
grammar,much,0.416666667,0.7,38.14285714
grammar,my,1.5,2.6,40.7
grammar,none,0.833333333,0.5,43
grammar,not,1.384615385,0.9,45.58333333
grammar,now,1.461538462,-0.083333333,27.4
grammar,of,0.230769231,-0.363636364,26.54545455
grammar,off,1.9,1.454545455,41.58333333
grammar,on,0.916666667,1.785714286,44.72727273
grammar,our,-0.909090909,0.166666667,32.58333333
grammar,out,0.923076923,2.666666667,42.76923077
grammar,over,0.8,1.166666667,28.23076923
grammar,she,0.714285714,1.083333333,52.4
grammar,so,0.909090909,0,16.45454545
grammar,some,0.5,0.2,30.5
grammar,that,-0.0625,0.4,23.42857143
grammar,the,0.428571429,1,12.09090909
grammar,their,-1,-0.214285714,25.90909091
grammar,them,-0.692307692,0.25,43.70588235
grammar,then,0.1875,0.2,39.7
grammar,there,0.461538462,-0.076923077,28.11764706
grammar,these,-0.214285714,-0.727272727,25.16666667
grammar,they,0.454545455,-0.733333333,47.82352941
grammar,this,0.133333333,0.625,19.9
grammar,those,0.272727273,0.6,40.64705882
grammar,to,-0.416666667,0.545454545,26.36363636
grammar,too,1,0.533333333,24.875
grammar,try,-0.294117647,-0.416666667,31.2
grammar,under,1.176470588,1.466666667,32.2
grammar,up,1.333333333,1.461538462,61.83333333
grammar,us,-0.769230769,0.785714286,51.6
grammar,wanna,0.333333333,1.153846154,21.33333333
grammar,was,-0.833333333,0.545454545,23.64705882
grammar,we,1.428571429,0.357142857,45.27272727
grammar,were,0.6,-0.666666667,28.3
grammar,what,0.142857143,-0.071428571,25.1
grammar,when,-1.125,-0.615384615,18.88235294
grammar,where,-0.818181818,-0.363636364,57.5
grammar,which,0.090909091,0.090909091,8.909090909
grammar,who,1.375,0.454545455,52.36363636
grammar,why,0.769230769,0.2,36.92857143
grammar,will,0.214285714,1.2,30.9
grammar,with,1.166666667,0,29.7
grammar,would,-2.1,-1.727272727,24.78571429
grammar,you,-0.4,0.181818182,56.36363636
grammar,your,0,0.647058824,51
grammar,yourself,0.333333333,0.416666667,34.5
noun,alligator,1.090909091,0.466666667,21.9
noun,animal,-0.933333333,0.454545455,40
noun,ankle,0.466666667,0.090909091,29.75
noun,ant,0.6,1.153846154,29.3
noun,apple,0.083333333,0.692307692,28.2
noun,arm,0.2,0.692307692,41.66666667
noun,aunt,0.2,-1.090909091,19.9
noun,baby,2.230769231,1.333333333,60.0625
noun,back,0.4,1,58.47058824
noun,ball,0.75,1,57.7
noun,balloon,1.714285714,0.769230769,41.8
noun,banana,1,0.083333333,30.07692308
noun,basement,0.818181818,1.266666667,27.82352941
noun,basket,-0.166666667,1,27
noun,bat,0.153846154,0.142857143,28.36363636
noun,bath,0.3,0.545454545,19.4
noun,beach,-0.214285714,1,34.6
