List,SubList,ListLength,ID,RootIdentifier,word,disambiguation,wordPlusDisamb,subjCode,rating
A,26,25,1764,NA,answer,,answer,BL0,0
A,26,25,1765,NA,area,,area,BL0,0
A,26,25,627,NA,brackish,,brackish,BL0,1
A,26,25,1398,49,coo,,coo,BL0,5
A,26,25,1797,292,depression,,depression,BL0,0
A,26,25,1652,262,development,,development,BL0,0
A,26,25,1672,NA,factory,,factory,BL0,0
A,26,25,1135,NA,freak,,freak,BL0,2
A,26,25,1433,97,glow,,glow,BL0,1
A,26,25,1436,101,grease,,grease,BL0,3
A,26,25,1681,NA,guilt,,guilt,BL0,1
A,26,25,756,NA,handsome,,handsome,BL0,2
A,26,25,1067,NA,honest,,honest,BL0,0
A,26,25,1094,NA,lose,,lose,BL0,0
A,26,25,1835,NA,magic,,magic,BL0,0
A,26,25,1271,NA,plausible,,plausible,BL0,0
A,26,25,1881,316,satisfaction,,satisfaction,BL0,1
A,26,25,1506,182,sear,,sear,BL0,4
A,26,25,890,188,shrieking,,shrieking,BL0,5
A,26,25,1576,NA,sigh,,sigh,BL0,4
A,26,25,1581,NA,sly,,sly,BL0,2
A,26,25,949,NA,tender,,tender,BL0,1
A,26,25,950,NA,tepid,,tepid,BL0,1
A,26,25,977,231,whimpering,,whimpering,BL0,3
A,26,25,1231,NA,wicker,,wicker,BL0,1
A,31,25,1552,NA,arf,,arf,BL1,0
A,31,25,1284,NA,bogus,,bogus,BL1,0
A,31,25,656,NA,clammy,,clammy,BL1,3
A,31,25,1649,NA,deck,,deck,BL1,0
A,31,25,1307,NA,discreet,,discreet,BL1,2
A,31,25,1914,264,distinct,,distinct,BL1,1
A,31,25,709,72,feverish,,feverish,BL1,2
A,31,25,710,73,filthy,,filthy,BL1,2
A,31,25,713,NA,flat,,flat,BL1,0
A,31,25,727,NA,fresh,,fresh,BL1,1
A,31,25,760,110,hissing,,hissing,BL1,4
A,31,25,1941,303,major,,major,BL1,0
A,31,25,1233,NA,molasses,,molasses,BL1,2
A,31,25,812,142,mushroomy,,mushroomy,BL1,0
A,31,25,1851,NA,pat,,pat,BL1,0
A,31,25,1482,154,perfume,,perfume,BL1,2
A,31,25,1330,NA,redeem,,redeem,BL1,-1
A,31,25,1285,NA,resign,,resign,BL1,0
A,31,25,1571,252,roar,,roar,BL1,3
A,31,25,1574,NA,scrap,,scrap,BL1,0
A,31,25,886,NA,sheer,,sheer,BL1,-2
A,31,25,898,192,slippery,,slippery,BL1,0
A,31,25,1524,207,squeak,,squeak,BL1,2
A,31,25,931,NA,straight,,straight,BL1,0
A,31,25,1753,NA,voluntary,,voluntary,BL1,0
