"Word","Written","ListIdentifier","DantzigAuditory","DantzigGustatory","DantzigOlfactory","DantzigVisual","DantzigHaptic","DantzigDominantModality","LynottNounVisualStrengthMean","LynottNounHapticStrengthMean","LynottNounAuditoryStrengthMean","LynottNounOlfactoryStrengthMean","LynottNounGustatoryStrengthMean","LynottNounDominantModality","Auditory_mean","Gustatory_mean","Haptic_mean","Olfactory_mean","Visual_mean","DominantModalityNoun","Valence","AbsValence","AOA","Conc","POS","WordFreq","OriginalPOS","ContentPOS"
"asleep",0.454545455,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,1.43615307222422,4.47,3.71,"Adjective",3.4052,"adjective","Adjective"
"awake",2.1,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.76,1.69615307222422,4.67,3.32,"Adjective",3.1345,"adjective","Adjective"
"bad",0.5625,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24,1.82384692777578,2.79,1.68,"Adjective",4.4441,"adjective","Adjective"
"better",-0.1,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.02,1.91,"Adverb",4.6074,"adjective","Adverb"
"big",1.090909091,"list1",0.335,0.94,0.355,4.925,2.605,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64,0.576153072224218,2.89,3.66,"Adjective",4.5419,"adjective","Adjective"
"black",1.19047619,"list1",0.285,1.145,0.74,4.915,0.26,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,0.336153072224219,3.56,3.76,"Adjective",3.9328,"adjective","Adjective"
"blue",-0.066666667,"list1",0.17,0.075,0.105,4.865,0.06,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53,1.46615307222422,3.53,3.76,"Adjective",3.7179,"adjective","Adjective"
"broken",1.5,"list1",3.255,0.825,0.15,4.845,3.65,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2.31384692777578,NA,4.11,"Verb",3.5605,"adjective","Verb"
"brown",0.571428571,"list1",0.375,0.245,0.3,4.965,0.46,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52,0.456153072224218,4.2,4.48,"Name",3.4867,"adjective",NA
"cold",1.5,"list1",0.315,3.64,0.755,2.41,4.68,"Haptic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32,0.743846927775781,3.95,3.85,"Adjective",3.8221,"adjective","Adjective"
